River Run, a busy merchant city.
Grumpton, a small farming town in the far north.
The Wide Lands, a tribal teritory in the distant east.
Puloch, a fishing village with an aging population.
Glammer, the dazzling capital city of a powerful kingdom.
Gorton, a farming village in a war-torn region.
Pipton, a town of skill craftsman on the border of two kingdoms.
Grey Mountain, a dwarven bastion plagued by orcs.
The Leaves of Dawn, an ancient elven forest with some human settlements.
Roxton, a small dwarven town on the edge of a busy quarry.
Pril'yon, the fortress of a maniacal cult.
